тип_кредитной_организации,название_организации,дата_выдачи_кредита,сумма_выдачи,сумма_погашенного,сумма_задолженности,статус_кредита,дата_статуса
микрокредит,микрокредитная,2020-11-21,5000,5950,0,счет закрыт,2020-12-10
микрокредит,смсфинанс,2020-11-18,3000,3661,0,счет закрыт,2020-12-10
микрокредит,мани мен,2020-11-16,2500,2725,0,счет закрыт,2020-11-25
микрокредит,займер,2020-11-11,5000,5700,0,счет закрыт,2020-11-25
микрокредит,турбозайм,2020-11-10,5000,5050,0,счет закрыт,2020-11-11
микрокредит,микрокредитная компания,2020-10-21,7000,0,9139,передача данных прекращена,2022-10-14
микрокредит,финанби,2020-10-21,2250,2295,0,счет закрыт,2020-10-23
микрокредит,микроклад,2020-10-18,16000,20000,0,счет закрыт,2020-11-11
микрокредит,займер,2020-10-17,13000,16250,0,счет закрыт,2020-11-11
микрокредит,смсфинанс,2020-10-17,15000,18778,0,счет закрыт,2020-11-11
микрокредит,микроклад,2020-10-15,3000,3150,0,счет закрыт,2020-10-18
микрокредит,займер,2020-10-15,4000,4080,0,счет закрыт,2020-10-17
микрокредит,юпитер 6,2020-10-15,2000,2540,0,счет закрыт,2020-11-11
микрокредит,турбозайм,2020-10-15,25000,31500,0,счет закрыт,2020-11-10
микрокредит,смсфинанс,2020-10-15,4500,4590,0,счет закрыт,2020-10-17
микрокредит,смсфинанс,2020-10-14,23000,23230,0,счет закрыт,2020-10-15
микрокредит,честное слово,2020-10-13,10000,12900,0,счет закрыт,2020-11-11
микрокредит,дзп-центр,2020-10-12,12440,18612,0,счет закрыт,2020-11-11
микрокредит,займер,2020-10-12,15000,15450,0,счет закрыт,2020-10-15
микрокредит,займер,2020-10-12,15000,15150,0,счет закрыт,2020-10-12
микрокредит,турбозайм,2020-10-12,25000,25750,0,счет закрыт,2020-10-15
микрокредит,юпитер 6,2020-10-12,3000,3029,0,счет закрыт,2020-10-12
микрокредит,юпитер 6,2020-10-12,3000,3090,0,счет закрыт,2020-10-15
микрокредит,смсфинанс,2020-10-12,7000,7140,0,счет закрыт,2020-10-14
микрокредит,микрокредитная,2020-10-12,9500,12065,0,счет закрыт,2020-11-11
микрокредит,смсфинанс,2020-10-11,20000,20200,0,счет закрыт,2020-10-12
микрокредит,дзп-центр,2020-10-11,11200,13400,0,счет закрыт,2020-10-12
микрокредит,мани мен,2020-10-11,5500,5555,0,счет закрыт,2020-10-12
микрокредит,микроклад,2020-10-11,9000,9090,0,счет закрыт,2020-10-12
микрокредит,турбозайм,2020-10-11,20000,20200,0,счет закрыт,2020-10-12
микрокредит,честное слово,2020-10-11,10000,10100,0,счет закрыт,2020-10-12
микрокредит,микрокредитная,2020-10-11,13000,13130,0,счет закрыт,2020-10-12
микрокредит,займ-экспресс,2020-10-11,7500,7575,0,счет закрыт,2020-10-12
микрокредит,мани мен,2020-10-07,30000,30900,0,счет закрыт,2020-10-10
микрокредит,юпитер 6,2020-10-07,2000,2058,0,счет закрыт,2020-10-10
микрокредит,честное слово,2020-10-06,5500,5720,0,счет закрыт,2020-10-10
микрокредит,дзп-центр,2020-10-04,8140,10280,0,счет закрыт,2020-10-10
микрокредит,турбозайм,2020-10-04,18000,19080,0,счет закрыт,2020-10-10
микрокредит,срочноденьги,2020-10-04,5800,6148,0,счет закрыт,2020-10-10
микрокредит,смсфинанс,2020-10-04,5000,5000,0,счет закрыт,2020-10-10
микрокредит,займ-экспресс,2020-10-04,2000,2120,0,счет закрыт,2020-10-10
микрокредит,микрокредитная,2020-10-02,4000,4320,0,счет закрыт,2020-10-10
микрокредит,мани мен,2020-10-01,5000,5300,0,счет закрыт,2020-10-07
микрокредит,микрокредитная,2020-09-29,1500,1515,0,счет закрыт,2020-09-30
микрокредит,срочноденьги,2020-09-28,4800,4896,0,счет закрыт,2020-09-30
микрокредит,финанби,2020-09-12,3000,3540,0,счет закрыт,2020-09-30
микрокредит,юпитер 6,2020-09-05,2000,2062,0,счет закрыт,2020-10-07
микрокредит,дзп-центр,2020-09-01,7290,11162,0,счет закрыт,2020-09-28
микрокредит,турбозайм,2020-09-01,9000,11430,0,счет закрыт,2020-09-28
микрокредит,смсфинанс,2020-09-01,4500,5727,0,счет закрыт,2020-09-28
микрокредит,микроклад,2020-08-31,5000,6500,0,счет закрыт,2020-09-28
микрокредит,срочноденьги,2020-08-31,4800,6144,0,счет закрыт,2020-09-28
микрокредит,микрокредитная,2020-08-31,2000,2500,0,счет закрыт,2020-09-28
микрокредит,займер,2020-08-29,15000,21300,0,счет закрыт,2020-10-10
микрокредит,займ-экспресс,2020-08-23,2000,2040,0,счет закрыт,2020-08-25
микрокредит,дзп-центр,2020-08-21,2720,3440,0,счет закрыт,2020-08-25
микрокредит,микроклад,2020-08-18,3000,3300,0,счет закрыт,2020-08-25
микрокредит,смсфинанс,2020-08-18,4000,4000,0,счет закрыт,2020-08-25
