type of credit institution,сredit institution name,date of loan issue,loan amount(RUB),loan repayment amount(RUB),loan amount owed(RUB),loan status,status date
Микрокредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",10-04-2021,RUB 15000,RUB 15600,RUB 0,Счет закрыт,14-04-2021
Микрокредит,"ООО МКК """"Джет Мани Микрофинанс""""""",10-04-2021,RUB 5000,RUB 5000,RUB 0,Счет закрыт,16-04-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",03-04-2021,RUB 30000,RUB 41461,RUB 0,Счет закрыт,25-05-2021
Микрокредит,"ООО МКК """"Микроклад""""""",17-03-2021,RUB 6000,RUB 6480,RUB 0,Счет закрыт,25-03-2021
Потребит.кредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",17-03-2021,RUB 5000,RUB 6150,RUB 0,Счет закрыт,09-04-2021
Микрокредит,"ООО МФК """"Займер""""""",13-03-2021,RUB 2000,RUB 2684,RUB 0,Счет закрыт,16-04-2021
Микрокредит,"ООО МКК """"Джет Мани Микрофинанс""""""",13-03-2021,RUB 5000,RUB 0,RUB 0,Счет закрыт,09-04-2021
Микрокредит,"ООО МФК """"Займер""""""",12-03-2021,RUB 2000,RUB 2020,RUB 0,Счет закрыт,12-03-2021
Микрокредит,"ООО МФК """"Займер""""""",12-03-2021,RUB 3000,RUB 3030,RUB 0,Счет закрыт,12-03-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",12-03-2021,RUB 3000,RUB 3390,RUB 0,Счет закрыт,25-03-2021
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,07-03-2021,RUB 28000,RUB 28280,RUB 0,Счет закрыт,07-03-2021
Микрокредит,"ООО МКК """"Джет Мани Микрофинанс""""""",07-03-2021,RUB 26000,RUB 26000,RUB 0,Счет закрыт,07-03-2021
Микрокредит,"ООО МФК """"Займер""""""",05-03-2021,RUB 2000,RUB 2040,RUB 0,Счет закрыт,07-03-2021
Микрокредит,"ООО МФК """"Займер""""""",05-03-2021,RUB 3000,RUB 3060,RUB 0,Счет закрыт,07-03-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",05-03-2021,RUB 2500,RUB 2675,RUB 0,Счет закрыт,12-03-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",17-02-2021,RUB 2500,RUB 2775,RUB 0,Счет закрыт,28-02-2021
Кредитная карта,"АО КБ """"Пойдём!""""""",05-02-2021,RUB 0,RUB 78275,RUB 0,Счет закрыт,10-06-2021
Кредитная карта,"АО КБ """"Пойдём!""""""",05-02-2021,RUB 0,RUB 12499,RUB 0,Счет закрыт,09-07-2021
Микрокредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",22-01-2021,RUB 8000,RUB 10400,RUB 0,Счет закрыт,21-02-2021
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,20-01-2021,RUB 2500,RUB 3175,RUB 0,Счет закрыт,19-02-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",17-01-2021,RUB 4700,RUB 5593,RUB 0,Счет закрыт,05-02-2021
Микрокредит,"ООО МФК """"Займер""""""",16-01-2021,RUB 3500,RUB 4200,RUB 0,Счет закрыт,05-02-2021
Микрокредит,ООО «МФК «ЮПИТЕР 6»,16-01-2021,RUB 1000,RUB 1200,RUB 0,Счет закрыт,05-02-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",12-01-2021,RUB 20000,RUB 20600,RUB 0,Счет закрыт,15-01-2021
Микрокредит,ООО «МФК «ЮПИТЕР 6»,08-01-2021,RUB 500,RUB 515,RUB 0,Счет закрыт,11-01-2021
Микрокредит,"ООО МФК """"Займер""""""",04-01-2021,RUB 4000,RUB 4280,RUB 0,Счет закрыт,11-01-2021
Микрокредит,"ООО МФК """"Займер""""""",23-12-2020,RUB 3000,RUB 3060,RUB 0,Счет закрыт,25-12-2020
Микрокредит,ООО «МФК «ЮПИТЕР 6»,23-12-2020,RUB 2000,RUB 2040,RUB 0,Счет закрыт,25-12-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",17-12-2020,RUB 2500,RUB 3125,RUB 0,Счет закрыт,11-01-2021
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",17-12-2020,RUB 3000,RUB 4501,RUB 0,Счет закрыт,05-02-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",30-11-2020,RUB 2500,RUB 2750,RUB 0,Счет закрыт,10-12-2020
Микрокредит,"ООО МФК """"Займер""""""",29-11-2020,RUB 2000,RUB 2220,RUB 0,Счет закрыт,10-12-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,21-11-2020,RUB 5000,RUB 5950,RUB 0,Счет закрыт,10-12-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",18-11-2020,RUB 3000,RUB 3661,RUB 0,Счет закрыт,10-12-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",16-11-2020,RUB 2500,RUB 2725,RUB 0,Счет закрыт,25-11-2020
Микрокредит,"ООО МФК """"Займер""""""",11-11-2020,RUB 5000,RUB 5700,RUB 0,Счет закрыт,25-11-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,10-11-2020,RUB 5000,RUB 5050,RUB 0,Счет закрыт,11-11-2020
Микрокредит,ООО «Микрокредитная компания,21-10-2020,RUB 7000,RUB 0,RUB 9139,Передача данных прекращена,14-10-2022
Микрокредит,ООО «Финанби»,21-10-2020,RUB 2250,RUB 2295,RUB 0,Счет закрыт,23-10-2020
Микрокредит,"ООО МКК """"Микроклад""""""",18-10-2020,RUB 16000,RUB 20000,RUB 0,Счет закрыт,11-11-2020
Микрокредит,"ООО МФК """"Займер""""""",17-10-2020,RUB 13000,RUB 16250,RUB 0,Счет закрыт,11-11-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",17-10-2020,RUB 15000,RUB 18778,RUB 0,Счет закрыт,11-11-2020
Микрокредит,"ООО МКК """"Микроклад""""""",15-10-2020,RUB 3000,RUB 3150,RUB 0,Счет закрыт,18-10-2020
Микрокредит,"ООО МФК """"Займер""""""",15-10-2020,RUB 4000,RUB 4080,RUB 0,Счет закрыт,17-10-2020
Микрокредит,ООО «МФК «ЮПИТЕР 6»,15-10-2020,RUB 2000,RUB 2540,RUB 0,Счет закрыт,11-11-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,15-10-2020,RUB 25000,RUB 31500,RUB 0,Счет закрыт,10-11-2020
