type of credit institution,сredit institution name,date of loan issue,loan amount(RUB),loan repayment amount(RUB),loan amount owed(RUB),loan status,status date
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",08-04-2019,RUB 12000,RUB 13440,RUB 0,Счет закрыт,08-04-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",08-04-2019,RUB 4000,RUB 4240,RUB 0,Счет закрыт,08-04-2019
Микрокредит,"ООО МФК """"Займер""""""",01-04-2019,RUB 3000,RUB 3045,RUB 0,Счет закрыт,02-04-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",01-04-2019,RUB 10100,RUB 10100,RUB 0,Счет закрыт,01-04-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",21-03-2019,RUB 20000,RUB 20900,RUB 0,Счет закрыт,24-03-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",06-02-2019,RUB 5000,RUB 5760,RUB 0,Счет закрыт,08-02-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",06-02-2019,RUB 5600,RUB 5768,RUB 0,Счет закрыт,08-02-2019
Микрокредит,"ООО МФК """"Займер""""""",27-01-2019,RUB 7500,RUB 7725,RUB 0,Счет закрыт,29-01-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",22-01-2019,RUB 5000,RUB 5375,RUB 0,Счет закрыт,25-01-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",21-01-2019,RUB 4000,RUB 4000,RUB 0,Счет закрыт,25-01-2019
Потребит.кредит,"ООО """"Драйв Клик Банк""""""",20-09-2016,RUB 27052,RUB 32471,RUB 0,Счет закрыт,16-06-2017
Микрокредит,ООО «Киберлэндинг»,28-05-2021,RUB 5500,RUB 6847,RUB 0,Счет закрыт,24-06-2021
Микрокредит,"ООО МКК """"ФИНТЕРРА""""""",21-05-2021,RUB 9500,RUB 16825,RUB 0,Счет закрыт,07-08-2021
Микрокредит,ООО «Киберлэндинг»,20-04-2021,RUB 5200,RUB 6474,RUB 0,Счет закрыт,22-05-2021
Микрокредит,ООО «Киберлэндинг»,13-03-2021,RUB 3000,RUB 4020,RUB 0,Счет закрыт,16-04-2021
Микрокредит,ООО «Киберлэндинг»,14-02-2021,RUB 3500,RUB 3549,RUB 0,Счет закрыт,16-02-2021
Микрокредит,ООО «Киберлэндинг»,22-01-2021,RUB 7500,RUB 8550,RUB 0,Счет закрыт,05-02-2021
Микрокредит,ООО «Киберлэндинг»,05-11-2020,RUB 5000,RUB 5300,RUB 0,Счет закрыт,11-11-2020
Микрокредит,"ООО МКК """"ФИНТЕРРА""""""",15-10-2020,RUB 5520,RUB 6861,RUB 0,Счет закрыт,11-11-2020
Микрокредит,ООО «Киберлэндинг»,12-10-2020,RUB 16500,RUB 20460,RUB 0,Счет закрыт,05-11-2020
Микрокредит,ООО «Киберлэндинг»,11-10-2020,RUB 5000,RUB 5050,RUB 0,Счет закрыт,12-10-2020
Микрокредит,ООО «Киберлэндинг»,04-10-2020,RUB 8000,RUB 8480,RUB 0,Счет закрыт,10-10-2020
Микрокредит,ООО «Киберлэндинг»,12-09-2020,RUB 5500,RUB 6380,RUB 0,Счет закрыт,28-09-2020
Микрокредит,"ООО """"Займиго МФК""""""",31-07-2019,RUB 4000,RUB 6964,RUB 0,Счет закрыт,01-09-2019
Микрокредит,"ООО """"ФЖК""""""",08-07-2019,RUB 6500,RUB 12817,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО МФК """"Экофинанс""""""",08-05-2019,RUB 4000,RUB 5500,RUB 0,Счет закрыт,17-06-2019
Микрокредит,"ООО МФК """"Экофинанс""""""",04-05-2019,RUB 7000,RUB 7420,RUB 0,Счет закрыт,08-05-2019
Микрокредит,"ООО МФК """"Экофинанс""""""",19-02-2019,RUB 10000,RUB 10000,RUB 0,Счет закрыт,25-02-2019
Микрокредит,ООО «Профессиональные Финансы»,30-08-2018,RUB 5000,RUB 5100,RUB 0,Счет закрыт,30-08-2018
